E;G;189;61;003;0000;Berlingerode;1;1;1036;619;59,7;7;612;8;611;58;9,5;62;10,1;82;13,4;84;13,7;392;64,1;338;55,3;45;7,4;88;14,4;12;2,0;11;1,8;16;2,6;13;2,1;0;0;3;0,5;0;0;0;0;6;1,0;5;0,8;0;0;7;1,1;1;0,2;;
E;;189;61;003;0001;Berlingerode;1;1;1036;619;59,7;7;612;8;611;58;9,5;62;10,1;82;13,4;84;13,7;392;64,1;338;55,3;45;7,4;88;14,4;12;2,0;11;1,8;16;2,6;13;2,1;0;0;3;0,5;0;0;0;0;6;1,0;5;0,8;0;0;7;1,1;1;0,2;;
E;G;189;61;004;0000;Bernterode (b. Heilb. Heiligenst.);1;1;219;157;71,7;3;154;3;154;13;8,4;12;7,8;22;14,3;24;15,6;95;61,7;88;57,1;14;9,1;18;11,7;8;5,2;7;4,5;1;0,6;3;1,9;0;0;0;0;0;0;0;0;1;0,6;1;0,6;0;0;1;0,6;0;0;;
E;;189;61;004;0001;Bernterode (Heiligenstadt);1;1;219;157;71,7;3;154;3;154;13;8,4;12;7,8;22;14,3;24;15,6;95;61,7;88;57,1;14;9,1;18;11,7;8;5,2;7;4,5;1;0,6;3;1,9;0;0;0;0;0;0;0;0;1;0,6;1;0,6;0;0;1;0,6;0;0;;
E;G;189;61;007;0000;Birkenfelde;1;1;489;316;64,6;5;311;4;312;35;11,3;37;11,9;58;18,6;53;17,0;163;52,4;152;48,7;23;7,4;30;9,6;20;6,4;16;5,1;10;3,2;9;2,9;0;0;1;0,3;0;0;0;0;1;0,3;1;0,3;0;0;13;4,2;1;0,3;;
E;;189;61;007;0001;Birkenfelde;1;1;489;316;64,6;5;311;4;312;35;11,3;37;11,9;58;18,6;53;17,0;163;52,4;152;48,7;23;7,4;30;9,6;20;6,4;16;5,1;10;3,2;9;2,9;0;0;1;0,3;0;0;0;0;1;0,3;1;0,3;0;0;13;4,2;1;0,3;;
E;G;189;61;009;0000;Bischofferode;3;3;1602;934;58,3;14;920;14;920;181;19,7;172;18,7;219;23,8;231;25,1;387;42,1;349;37,9;55;6,0;78;8,5;28;3,0;33;3,6;26;2,8;26;2,8;0;0;4;0,4;0;0;0;0;21;2,3;9;1,0;0;0;18;2,0;3;0,3;;
E;;189;61;009;0001;Bischofferode 1;1;1;601;337;56,1;6;331;5;332;54;16,3;45;13,6;48;14,5;56;16,9;182;55,0;158;47,6;22;6,6;34;10,2;8;2,4;14;4,2;8;2,4;11;3,3;0;0;2;0,6;0;0;0;0;8;2,4;5;1,5;0;0;7;2,1;1;0,3;;
E;;189;61;009;0002;Bischofferode 2;1;1;723;415;57,4;3;412;5;410;72;17,5;74;18,0;121;29,4;129;31,5;160;38,8;145;35,4;22;5,3;30;7,3;15;3,6;12;2,9;9;2,2;6;1,5;0;0;2;0,5;0;0;0;0;11;2,7;4;1,0;0;0;8;2,0;2;0,5;;
E;;189;61;009;0003;Bischofferode 3 - OT Hauröden;1;1;278;182;65,5;5;177;4;178;55;31,1;53;29,8;50;28,2;46;25,8;45;25,4;46;25,8;11;6,2;14;7,9;5;2,8;7;3,9;9;5,1;9;5,1;0;0;0;0;0;0;0;0;2;1,1;0;0;0;0;3;1,7;0;0;;
