E;G;189;61;001;0000;Arenshausen;1;1;788;435; 55,2;3;432;2;433;144; 33,3;125; 28,9;102; 23,6;99; 22,9;32; 7,4;30; 6,9;77; 17,8;85; 19,6;27; 6,3;35; 8,1;18; 4,2;24; 5,5;19; 4,4;11; 2,5;3; 0,7;3; 0,7;-;-;2; 0,5;2; 0,5;2; 0,5;-;-;-;-;-;-;-;-;-;-;-;-;8; 1,9;8; 1,8;-;-;-;-;-;-;-;-;-;-;7; 1,6;-;-;-;-;-;-;2; 0,5;-;-;-;-
E;;189;61;001;0001;Arenshausen;1;1;788;435; 55,2;3;432;2;433;144; 33,3;125; 28,9;102; 23,6;99; 22,9;32; 7,4;30; 6,9;77; 17,8;85; 19,6;27; 6,3;35; 8,1;18; 4,2;24; 5,5;19; 4,4;11; 2,5;3; 0,7;3; 0,7;-;-;2; 0,5;2; 0,5;2; 0,5;-;-;-;-;-;-;-;-;-;-;-;-;8; 1,9;8; 1,8;-;-;-;-;-;-;-;-;-;-;7; 1,6;-;-;-;-;-;-;2; 0,5;-;-;-;-
E;G;189;61;003;0000;Berlingerode;1;1;991;534; 53,9;6;528;7;527;227; 43,0;178; 33,8;115; 21,8;114; 21,6;19; 3,6;21; 4,0;77; 14,6;85; 16,1;51; 9,7;78; 14,8;11; 2,1;16; 3,0;14; 2,7;11; 2,1;4; 0,8;4; 0,8;-;-;2; 0,4;1; 0,2;2; 0,4;-;-;2; 0,4;-;-;-;-;-;-;-;-;9; 1,7;11; 2,1;-;-;-;-;-;-;1; 0,2;-;-;2; 0,4;-;-;-;-;-;-;-;-;-;-;-;-
E;;189;61;003;0001;Berlingerode;1;1;991;534; 53,9;6;528;7;527;227; 43,0;178; 33,8;115; 21,8;114; 21,6;19; 3,6;21; 4,0;77; 14,6;85; 16,1;51; 9,7;78; 14,8;11; 2,1;16; 3,0;14; 2,7;11; 2,1;4; 0,8;4; 0,8;-;-;2; 0,4;1; 0,2;2; 0,4;-;-;2; 0,4;-;-;-;-;-;-;-;-;9; 1,7;11; 2,1;-;-;-;-;-;-;1; 0,2;-;-;2; 0,4;-;-;-;-;-;-;-;-;-;-;-;-
E;G;189;61;007;0000;Birkenfelde;1;1;450;267; 59,3;4;263;4;263;113; 43,0;83; 31,6;48; 18,3;48; 18,3;15; 5,7;17; 6,5;45; 17,1;55; 20,9;9; 3,4;22; 8,4;18; 6,8;21; 8,0;10; 3,8;8; 3,0;1; 0,4;-;-;-;-;-;-;2; 0,8;3; 1,1;-;-;-;-;-;-;-;-;1; 0,4;-;-;1; 0,4;2; 0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2; 0,8;-;-;2; 0,8;-;-;-;-
E;;189;61;007;0001;Birkenfelde;1;1;450;267; 59,3;4;263;4;263;113; 43,0;83; 31,6;48; 18,3;48; 18,3;15; 5,7;17; 6,5;45; 17,1;55; 20,9;9; 3,4;22; 8,4;18; 6,8;21; 8,0;10; 3,8;8; 3,0;1; 0,4;-;-;-;-;-;-;2; 0,8;3; 1,1;-;-;-;-;-;-;-;-;1; 0,4;-;-;1; 0,4;2; 0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2; 0,8;-;-;2; 0,8;-;-;-;-
E;G;189;61;012;0000;Bodenrode-Westhausen;2;2;893;572; 64,1;9;563;5;567;247; 43,9;195; 34,4;112; 19,9;127; 22,4;31; 5,5;35; 6,2;75; 13,3;93; 16,4;53; 9,4;64; 11,3;13; 2,3;23; 4,1;16; 2,8;10; 1,8;8; 1,4;6; 1,1;-;-;1; 0,2;4; 0,7;2; 0,4;-;-;1; 0,2;-;-;1; 0,2;-;-;-;-;4; 0,7;3; 0,5;-;-;1; 0,2;-;-;-;-;-;-;3; 0,5;-;-;1; 0,2;-;-;1; 0,2;-;-;-;-
E;;189;61;012;0001;OT Bodenrode;1;1;380;257; 67,6;3;254;-;257;110; 43,3;96; 37,4;43; 16,9;49; 19,1;16; 6,3;18; 7,0;39; 15,4;38; 14,8;25; 9,8;31; 12,1;6; 2,4;12; 4,7;6; 2,4;2; 0,8;2; 0,8;1; 0,4;-;-;-;-;3; 1,2;1; 0,4;-;-;1; 0,4;-;-;1; 0,4;-;-;-;-;4; 1,6;3; 1,2;-;-;1; 0,4;-;-;-;-;-;-;1; 0,4;-;-;1; 0,4;-;-;1; 0,4;-;-;-;-
E;;189;61;012;0002;OT Westhausen;1;1;513;315; 61,4;6;309;5;310;137; 44,3;99; 31,9;69; 22,3;78; 25,2;15; 4,9;17; 5,5;36; 11,7;55; 17,7;28; 9,1;33; 10,6;7; 2,3;11; 3,5;10; 3,2;8; 2,6;6; 1,9;5; 1,6;-;-;1; 0,3;1; 0,3;1; 0,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2; 0,6;-;-;-;-;-;-;-;-;-;-;-;-
E;G;189;61;014;0000;Bornhagen;1;1;205;141; 68,8;1;140;1;140;32; 22,9;26; 18,6;54; 38,6;53; 37,9;9; 6,4;8; 5,7;27; 19,3;34; 24,3;7; 5,0;4; 2,9;1; 0,7;2; 1,4;3; 2,1;5; 3,6;5; 3,6;3; 2,1;-;-;-;-;1; 0,7;1; 0,7;-;-;-;-;-;-;-;-;-;-;-;-;1; 0,7;-;-;-;-;2; 1,4;-;-;-;-;-;-;2; 1,4;-;-;-;-;-;-;-;-;-;-;-;-
